Name,Rk,Uni,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Michael Kopech,1,45.0,us US,Pitcher,*,,28,R,R,"6' 3""",220,Apr 30 1996,2014,kopecmi01
Ben Casparius,2,78.0,us US,Pitcher,*,,25,R,R,"6' 2""",215,Feb 11 1999,2018,caspabe01
Justin Wrobleski,3,70.0,us US,Pitcher,*,,23,L,L,"6' 1""",194,Jul 14 2000,2019,wroblju01
Bobby Miller,4,28.0,us US,Pitcher,*,,25,L,R,"6' 5""",220,Apr 5 1999,2018,millebo06
Jack Dreyer,5,86.0,us US,Pitcher,*,,25,R,L,"6' 2""",205,Feb 27 1999,2018,redirect.fcgi?player=1&mlb_ID=676263
Michael Grove,6,29.0,us US,Pitcher,*,,27,R,R,"6' 3""",200,Dec 18 1996,2016,grovemi01
Kyle Hurt,7,63.0,us US,Pitcher,*,,26,R,R,"6' 3""",240,May 30 1998,2018,hurtky01
Dustin May,8,85.0,us US,Pitcher,*,,26,R,R,"6' 6""",180,Sep 6 1997,2016,maydu01
Tony Gonsolin,9,26.0,us US,Pitcher,*,,30,R,R,"6' 3""",205,May 14 1994,2013,gonsoto01
Brusdar Graterol,10,48.0,ve VE,Pitcher,*,,25,R,R,"6' 1""",265,Aug 26 1998,2015,gratebr01
Alex Vesia,11,51.0,us US,Pitcher,*,,28,L,L,"6' 1""",209,Apr 11 1996,2015,vesiaal01
Tanner Scott,12,66.0,us US,Pitcher,*,,29,R,L,"6' 0""",235,Jul 22 1994,2013,scottta01
Edgardo Henriquez,13,60.0,ve VE,Pitcher,*,,22,R,R,"6' 4""",200,Jun 24 2002,2019,henried01
Evan Phillips,14,59.0,us US,Pitcher,*,,29,R,R,"6' 2""",215,Sep 11 1994,2013,phillev01
Emmet Sheehan,15,80.0,us US,Pitcher,*,,24,R,R,"6' 5""",220,Nov 15 1999,2018,sheehem01
Anthony Banda,16,43.0,us US,Pitcher,*,,30,L,L,"6' 2""",221,Aug 10 1993,2012,bandaan01
Tyler Glasnow,17,31.0,us US,Pitcher,*,,30,L,R,"6' 8""",225,Aug 23 1993,2012,glasnty01
Landon Knack,18,96.0,us US,Pitcher,*,,26,L,R,"6' 2""",220,Jul 15 1997,2019,knackla01
Blake Snell,19,7.0,us US,Pitcher,*,,31,L,L,"6' 4""",225,Dec 4 1992,2011,snellbl01
River Ryan,20,77.0,us US,Pitcher,*,,25,R,R,"6' 2""",195,Aug 17 1998,2017,ryanri01
Nick Frasso,21,79.0,us US,Pitcher,*,,25,R,R,"6' 5""",200,Oct 18 1998,2018,redirect.fcgi?player=1&mlb_ID=693308
Blake Treinen,22,49.0,us US,Pitcher,*,,36,R,R,"6' 5""",225,Jun 30 1988,2011,treinbl01
Gavin Stone,23,35.0,us US,Pitcher,*,,25,R,R,"6' 1""",175,Oct 15 1998,2018,stonega01
Yoshinobu Yamamoto,24,18.0,jp JP,Pitcher,*,,25,R,R,"5' 10""",176,Aug 17 1998,2017,yamamyo01
